Date,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,27.7,32.3,23.6,9.2,49.6
2 Jul,29.5,33.0,27.3,6.0,21.3
3 Jul,28.5,31.4,26.9,7.1,25.6
4 Jul,29.4,33.1,26.6,8.6,34.3
5 Jul,28.5,34.3,25.2,6.8,35.0
6 Jul,26.9,29.0,25.0,6.0,20.6
7 Jul,27.8,32.4,26.2,5.5,40.7
8 Jul,28.6,32.2,25.9,6.4,27.0
9 Jul,27.6,31.7,24.5,5.0,45.4
10 Jul,27.7,31.7,25.4,6.1,28.9
11 Jul,25.8,27.6,24.9,6.1,29.4
12 Jul,27.3,30.8,25.1,4.2,24.4
13 Jul,29.2,33.8,25.3,5.2,22.0
14 Jul,26.0,28.7,23.6,6.4,32.0
15 Jul,27.9,31.9,24.9,6.7,30.2
16 Jul,29.5,32.8,27.3,6.9,29.4
17 Jul,28.3,31.5,24.1,7.3,33.9
18 Jul,27.6,31.3,25.1,6.0,26.7
19 Jul,27.3,29.5,25.0,5.3,26.7
20 Jul,25.5,27.5,21.8,5.9,51.5
21 Jul,28.6,32.5,25.7,6.9,25.6
22 Jul,29.2,32.3,26.9,7.2,30.6
23 Jul,28.6,31.2,27.2,6.6,33.5
24 Jul,29.1,34.0,26.2,7.0,32.0
25 Jul,29.9,34.1,27.3,7.6,27.0
26 Jul,29.8,33.5,27.7,7.6,33.2
27 Jul,29.9,33.2,28.0,7.6,33.2
28 Jul,29.7,32.7,27.7,7.4,29.1
29 Jul,29.6,33.3,27.8,9.4,33.9
30 Jul,29.5,33.1,26.9,9.7,36.7
31 Jul,29.2,32.9,27.2,9.8,30.9
1 Jun,27.0,29.4,23.0,7.7,48.9
2 Jun,29.4,34.5,26.1,5.7,23.0
3 Jun,29.3,33.0,26.0,5.6,40.0
4 Jun,26.9,31.3,24.4,6.3,30.6
5 Jun,29.2,33.5,25.6,5.8,23.3
6 Jun,28.2,31.2,25.2,5.7,26.7
7 Jun,28.5,31.8,25.4,6.4,44.6
8 Jun,29.2,33.0,26.1,6.6,27.4
9 Jun,29.5,33.9,26.3,6.4,23.0
10 Jun,29.7,33.9,26.5,6.9,30.6
11 Jun,29.8,33.5,26.9,7.7,29.1
12 Jun,27.6,30.9,23.3,6.6,35.0
13 Jun,28.8,33.3,25.7,6.0,30.9
14 Jun,28.2,31.2,26.3,5.5,28.2
15 Jun,28.7,33.7,25.3,5.6,22.6
16 Jun,30.2,33.9,27.6,6.2,23.7
17 Jun,30.0,33.8,27.8,5.7,24.4
18 Jun,27.7,31.9,24.0,5.9,39.6
19 Jun,28.4,34.2,26.3,7.3,32.0
20 Jun,29.3,33.5,27.5,7.0,25.6
21 Jun,30.0,33.5,27.9,8.1,30.6
22 Jun,29.8,33.5,27.4,8.8,26.7
23 Jun,28.9,33.4,27.2,7.2,26.7
24 Jun,27.9,31.6,24.6,6.7,45.7
25 Jun,28.8,32.4,26.2,6.8,31.3
26 Jun,27.5,30.7,23.3,8.4,42.4
27 Jun,28.1,31.7,24.5,6.8,30.2
28 Jun,28.1,31.1,24.9,6.5,28.9
29 Jun,28.9,32.9,24.9,6.3,33.5
30 Jun,28.0,31.1,23.7,5.4,41.1
1 Aug,29.2,33.1,27.2,7.1,27.0
2 Aug,29.8,33.2,27.9,8.2,32.8
3 Aug,26.0,28.8,22.5,6.2,34.3
4 Aug,28.7,33.8,25.1,7.8,34.6
5 Aug,29.8,33.9,27.6,8.9,32.4
6 Aug,30.0,34.4,26.9,6.6,30.9
7 Aug,29.8,33.9,26.5,6.7,31.3
8 Aug,28.8,32.3,26.8,7.9,40.7
9 Aug,29.2,33.2,25.7,8.5,38.5
10 Aug,29.5,33.2,27.5,6.9,27.8
11 Aug,28.5,32.0,25.2,6.8,36.3
12 Aug,29.2,32.4,27.4,7.7,31.7
13 Aug,28.7,31.6,26.6,8.7,30.2
14 Aug,27.0,31.6,23.6,7.6,47.2
15 Aug,27.4,32.9,24.2,4.8,39.3
16 Aug,27.4,32.5,25.6,6.2,35.2
17 Aug,27.1,32.3,25.2,5.9,32.0
18 Aug,26.5,27.5,25.3,5.1,27.8
19 Aug,26.6,29.9,24.6,4.8,32.0
20 Aug,28.4,31.9,26.1,7.0,35.0
21 Aug,26.4,28.6,23.3,6.6,38.9
22 Aug,28.7,33.5,24.9,7.6,30.2
23 Aug,29.5,33.4,26.6,7.2,30.2
24 Aug,28.9,33.9,26.8,6.8,31.3
25 Aug,28.1,31.7,24.0,6.2,32.0
26 Aug,27.6,32.0,25.6,5.5,32.4
27 Aug,28.4,33.2,24.8,5.1,23.7
28 Aug,28.2,32.3,26.4,6.5,33.2
29 Aug,28.4,30.9,27.0,6.8,37.4
30 Aug,28.6,31.9,25.2,6.6,31.7
31 Aug,29.1,32.1,27.1,7.7,31.3
