Date,Mean Temperature (°C),Maximum Temperature (°C),Maximum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,27.9,31.5,24.4,6.9,35.9
2 Jul,29.6,33.7,27.8,5.8,23.7
3 Jul,28.5,32.5,23.5,6.1,39.3
4 Jul,29.6,33.4,27.1,7.1,30.6
5 Jul,28.6,34.0,25.7,5.4,33.2
6 Jul,27.2,29.4,25.5,4.1,17.6
7 Jul,27.7,32.8,25.3,4.2,25.9
8 Jul,28.7,32.2,25.6,6.0,29.1
9 Jul,28.0,32.6,25.6,4.6,36.7
10 Jul,27.6,31.5,25.0,4.9,24.8
11 Jul,25.8,28.0,24.8,4.8,29.1
12 Jul,28.3,31.6,25.3,4.1,21.7
13 Jul,29.6,34.0,26.0,4.5,22.6
14 Jul,26.2,29.2,22.9,4.7,31.7
15 Jul,28.2,31.7,25.2,4.4,25.6
16 Jul,29.8,33.0,27.6,5.6,25.9
17 Jul,28.8,30.7,25.2,6.3,27.8
18 Jul,27.7,30.2,24.9,5.1,29.1
19 Jul,27.5,29.4,23.8,4.7,31.3
20 Jul,25.8,27.7,22.1,4.6,45.7
21 Jul,28.7,32.3,26.6,6.4,23.3
22 Jul,29.4,32.1,27.6,6.6,30.2
23 Jul,28.8,30.7,25.7,5.8,28.9
24 Jul,29.3,33.5,26.3,6.7,27.4
25 Jul,30.0,33.8,27.8,6.8,25.9
26 Jul,30.0,33.1,28.1,7.2,29.1
27 Jul,30.1,33.7,28.4,7.6,33.2
28 Jul,30.0,33.2,28.3,7.7,28.9
29 Jul,29.7,32.4,28.4,9.0,34.3
30 Jul,29.7,33.1,27.7,8.8,32.4
31 Jul,29.3,32.1,27.9,9.8,39.3
1 Jun,27.0,29.9,23.9,6.1,39.3
2 Jun,29.3,33.6,25.9,4.7,25.6
3 Jun,29.0,31.9,25.4,4.6,31.3
4 Jun,26.9,30.2,24.5,4.1,32.8
5 Jun,29.2,33.4,25.4,4.6,23.3
6 Jun,28.5,31.2,26.0,5.0,26.7
7 Jun,29.1,31.6,27.7,5.4,32.0
8 Jun,29.6,33.0,26.6,5.6,30.2
9 Jun,30.0,33.7,28.0,6.1,30.2
10 Jun,29.9,33.6,28.3,7.0,30.6
11 Jun,30.0,32.9,28.1,7.0,28.5
12 Jun,27.5,29.8,23.8,5.4,32.0
13 Jun,29.1,32.6,26.0,5.2,26.7
14 Jun,28.5,31.7,26.6,4.9,22.0
15 Jun,29.1,32.7,26.1,4.8,22.6
16 Jun,-,-,-,-,-
17 Jun,-,-,-,-,-
18 Jun,-,-,-,-,-
19 Jun,-,-,-,-,-
20 Jun,29.7,34.7,27.4,6.7,30.6
21 Jun,30.1,33.0,28.1,8.0,30.9
22 Jun,30.1,33.4,27.9,7.6,33.2
23 Jun,29.2,33.2,27.2,5.5,25.6
24 Jun,28.0,32.5,24.4,4.6,35.6
25 Jun,29.2,32.8,26.4,5.0,26.3
26 Jun,28.1,30.9,24.1,6.0,30.9
27 Jun,27.9,31.5,23.7,5.0,24.1
28 Jun,28.1,31.4,24.7,5.4,34.6
29 Jun,29.0,33.0,24.6,5.3,28.5
30 Jun,28.3,30.7,24.9,4.7,27.0
1 Aug,29.6,33.5,27.9,6.8,27.8
2 Aug,29.9,33.0,28.3,7.5,28.9
3 Aug,26.4,29.1,23.6,5.9,47.2
4 Aug,28.7,33.4,25.3,6.8,28.9
5 Aug,29.6,32.8,27.8,8.4,29.1
6 Aug,30.0,33.9,27.3,6.4,28.2
7 Aug,30.0,33.4,27.8,6.8,28.5
8 Aug,28.9,31.8,25.8,7.3,37.4
9 Aug,29.4,32.4,26.9,7.6,32.8
10 Aug,29.7,33.6,27.9,6.9,28.9
11 Aug,29.2,32.6,24.8,6.6,30.9
12 Aug,29.5,32.6,27.6,7.8,29.4
13 Aug,29.1,31.6,27.7,8.9,32.8
14 Aug,27.3,32.6,23.4,6.5,38.2
15 Aug,27.5,32.3,25.2,4.0,35.6
16 Aug,27.9,32.2,23.9,5.3,32.8
17 Aug,27.4,32.0,23.9,4.7,30.6
18 Aug,26.4,27.7,24.9,3.9,24.4
19 Aug,26.9,29.8,24.9,3.8,34.3
20 Aug,28.7,32.1,26.0,6.0,35.2
21 Aug,26.8,28.8,23.5,5.3,30.2
22 Aug,28.7,32.8,25.3,6.6,30.2
23 Aug,29.6,33.3,27.4,7.3,29.4
24 Aug,29.2,33.0,26.8,7.1,28.5
25 Aug,28.7,31.9,27.3,6.2,35.2
26 Aug,28.1,31.9,26.5,4.9,29.8
27 Aug,28.6,32.5,25.3,4.9,25.2
28 Aug,29.0,32.4,27.4,6.4,30.9
29 Aug,28.5,30.9,25.5,6.6,29.4
30 Aug,28.8,32.0,25.4,5.7,38.5
31 Aug,29.3,32.5,27.7,7.0,39.6
