Date,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,27.9,31.3,25.2,10.0,38.9
2 Jul,29.4,32.7,27.7,10.6,29.6
3 Jul,29.2,32.5,27.8,13.2,35.2
4 Jul,29.7,32.8,27.8,12.7,33.3
5 Jul,29.3,33.6,26.7,7.9,33.3
6 Jul,27.4,30.2,25.7,6.5,24.1
7 Jul,27.8,32.0,23.9,7.4,35.2
8 Jul,28.7,32.2,25.7,10.6,35.2
9 Jul,28.3,32.5,24.7,9.0,44.4
10 Jul,27.9,31.0,25.4,5.0,31.5
11 Jul,26.3,28.0,25.1,6.9,24.1
12 Jul,28.6,31.5,25.7,8.6,31.5
13 Jul,29.8,32.9,27.1,7.4,24.1
14 Jul,26.5,29.1,22.9,5.9,35.2
15 Jul,28.2,31.3,25.6,5.9,27.8
16 Jul,29.7,32.5,27.5,8.3,27.8
17 Jul,29.0,31.3,27.9,12.7,35.2
18 Jul,27.8,29.4,24.2,9.7,31.5
19 Jul,28.1,30.2,25.0,6.4,48.2
20 Jul,26.5,28.5,22.8,6.6,46.3
21 Jul,28.9,31.6,27.2,10.9,33.3
22 Jul,29.5,32.1,27.7,12.6,37.0
23 Jul,29.1,31.4,27.8,9.8,31.5
24 Jul,29.1,33.1,26.8,10.6,29.6
25 Jul,29.6,32.7,27.5,11.0,31.5
26 Jul,29.9,32.3,28.3,13.4,35.2
27 Jul,30.0,32.4,28.4,14.7,33.3
28 Jul,30.0,32.6,28.4,14.0,31.5
29 Jul,29.8,32.4,28.4,20.9,42.6
30 Jul,29.7,32.8,28.1,20.2,46.3
31 Jul,29.4,32.4,27.8,20.0,38.9
1 Jun,27.4,29.7,23.9,9.3,31.5
2 Jun,29.4,33.2,25.8,9.2,35.2
3 Jun,29.6,33.0,27.0,11.1,42.6
4 Jun,27.6,31.1,23.9,5.4,33.3
5 Jun,29.2,33.5,25.6,7.3,25.9
6 Jun,28.4,31.0,25.4,7.0,29.6
7 Jun,29.1,31.9,27.6,8.8,33.3
8 Jun,29.3,32.5,26.9,10.3,38.9
9 Jun,29.8,32.7,27.6,12.5,37.0
10 Jun,29.8,32.8,28.0,13.6,42.6
11 Jun,29.7,32.1,26.3,14.7,38.9
12 Jun,27.6,30.7,23.8,10.7,51.9
13 Jun,28.8,32.5,25.6,10.5,44.4
14 Jun,28.6,30.1,26.3,8.3,27.8
15 Jun,29.0,32.2,26.5,6.5,25.9
16 Jun,30.0,32.5,27.6,12.3,31.5
17 Jun,30.1,33.3,28.4,11.1,29.6
18 Jun,28.2,31.8,23.6,8.3,42.6
19 Jun,29.0,33.3,26.2,9.4,33.3
20 Jun,29.7,33.0,27.6,13.8,38.9
21 Jun,30.0,32.5,28.1,15.0,35.2
22 Jun,29.9,32.8,27.6,14.1,27.8
23 Jun,29.4,32.7,27.8,9.7,33.3
24 Jun,28.6,32.8,25.9,6.8,42.6
25 Jun,29.2,32.8,26.7,5.6,31.5
26 Jun,28.7,32.2,24.7,5.9,27.8
27 Jun,28.2,31.6,23.5,6.7,42.6
28 Jun,28.2,31.0,23.8,7.5,29.6
29 Jun,29.5,32.4,27.5,10.6,35.2
30 Jun,28.5,30.6,24.0,9.0,48.2
1 Aug,29.4,32.5,27.6,12.3,33.3
2 Aug,29.7,32.6,27.5,11.3,35.2
3 Aug,26.7,29.4,23.7,10.8,35.2
4 Aug,28.9,32.6,25.7,12.3,40.7
5 Aug,29.7,32.6,27.4,17.4,37.0
6 Aug,29.6,33.2,27.0,10.3,29.6
7 Aug,29.7,32.8,27.5,11.6,35.2
8 Aug,28.8,32.5,24.9,14.9,42.6
9 Aug,29.5,32.8,27.7,15.4,40.7
10 Aug,29.7,32.4,28.2,12.4,37.0
11 Aug,29.3,32.4,27.4,13.1,35.2
12 Aug,29.3,32.1,27.8,18.1,38.9
13 Aug,29.1,32.4,25.7,17.7,40.7
14 Aug,27.3,31.5,24.4,13.0,44.4
15 Aug,28.1,31.8,25.1,8.7,40.7
16 Aug,28.4,31.8,24.9,14.3,51.9
17 Aug,28.3,32.0,26.4,10.9,31.5
18 Aug,27.3,29.8,25.0,7.2,29.6
19 Aug,27.3,29.7,24.2,7.3,59.3
20 Aug,28.8,31.1,26.7,10.6,42.6
21 Aug,27.1,29.8,23.9,6.4,25.9
22 Aug,29.0,32.7,25.6,16.6,38.9
23 Aug,29.2,32.2,27.0,15.0,42.6
24 Aug,29.1,32.7,27.2,15.8,37.0
25 Aug,28.6,32.3,26.9,15.0,42.6
26 Aug,27.6,31.9,25.1,7.8,35.2
27 Aug,28.5,32.2,25.3,9.0,33.3
28 Aug,28.4,32.2,26.8,11.7,40.7
29 Aug,28.8,31.9,26.8,13.3,33.3
30 Aug,28.6,31.9,25.5,9.6,38.9
31 Aug,29.3,32.2,27.1,15.2,38.9
