Date,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,28.3,30.3,25.8,16.3,53.7
2 Jul,29.9,31.5,28.8,13.0,24.1
3 Jul,29.5,30.9,27.2,13.2,35.2
4 Jul,29.9,31.0,28.6,13.5,33.9
5 Jul,29.2,31.7,27.0,10.2,32.8
6 Jul,28.1,30.1,26.3,5.8,29.1
7 Jul,28.4,31.0,25.4,8.0,33.9
8 Jul,29.5,31.3,27.0,13.2,28.5
9 Jul,28.7,31.2,24.1,9.9,55.7
10 Jul,28.5,30.0,25.9,9.4,47.8
11 Jul,27.0,29.4,26.0,10.6,39.6
12 Jul,29.0,30.5,26.5,12.0,37.4
13 Jul,30.1,32.2,28.9,10.7,22.0
14 Jul,27.4,30.1,23.8,8.6,37.4
15 Jul,28.6,30.1,26.4,9.4,28.2
16 Jul,30.0,31.4,28.4,12.7,25.9
17 Jul,29.4,30.8,28.1,14.7,40.7
18 Jul,28.4,29.8,24.3,12.1,65.6
19 Jul,28.6,29.6,26.1,11.9,40.0
20 Jul,27.6,29.8,23.7,14.8,52.6
21 Jul,29.4,30.6,28.3,19.2,36.3
22 Jul,29.8,31.2,27.1,16.1,46.9
23 Jul,29.4,30.3,27.5,12.7,33.9
24 Jul,29.4,31.2,27.8,16.6,29.1
25 Jul,30.0,31.5,28.7,15.4,30.9
26 Jul,30.1,31.5,28.8,16.3,27.8
27 Jul,30.2,31.2,29.4,17.4,35.2
28 Jul,30.2,31.4,29.2,17.4,33.9
29 Jul,30.0,31.1,29.2,22.5,37.4
30 Jul,29.9,30.9,29.2,22.9,40.7
31 Jul,29.7,30.9,28.6,21.5,35.0
1 Jun,28.3,30.6,24.8,15.2,39.6
2 Jun,29.8,31.9,26.9,10.9,34.6
3 Jun,30.0,31.6,28.1,10.8,26.7
4 Jun,28.9,31.3,25.3,9.8,30.6
5 Jun,29.6,31.7,27.3,11.4,23.7
6 Jun,28.7,30.1,25.6,8.9,32.8
7 Jun,29.5,31.2,28.6,13.8,36.7
8 Jun,30.0,31.3,27.9,12.9,28.2
9 Jun,30.1,31.6,29.0,13.6,28.9
10 Jun,30.1,31.9,29.0,15.3,35.0
11 Jun,29.6,30.9,25.5,14.1,46.9
12 Jun,28.3,30.2,24.6,10.2,45.0
13 Jun,29.1,31.3,26.4,11.8,46.9
14 Jun,29.2,30.1,27.1,12.5,41.1
15 Jun,29.6,30.8,27.9,10.2,27.4
16 Jun,30.4,32.4,29.1,12.6,25.9
17 Jun,30.5,31.9,29.3,13.3,23.7
18 Jun,29.1,31.1,24.7,7.7,32.8
19 Jun,29.3,30.9,27.6,8.3,26.7
20 Jun,29.9,30.9,29.0,13.6,25.2
21 Jun,30.2,31.6,28.9,14.8,29.1
22 Jun,30.2,32.3,28.8,11.8,28.5
23 Jun,30.1,31.6,29.1,10.2,30.2
24 Jun,29.1,30.9,26.6,10.3,41.5
25 Jun,29.5,31.0,28.0,10.0,28.9
26 Jun,29.0,30.9,26.2,12.4,42.8
27 Jun,28.9,30.0,23.7,11.7,34.6
28 Jun,28.8,30.5,25.7,12.6,38.9
29 Jun,29.8,31.4,28.1,15.4,44.6
30 Jun,29.2,30.1,25.3,13.1,43.9
1 Aug,29.7,31.2,28.7,15.8,31.3
2 Aug,29.8,31.3,26.9,17.8,35.6
3 Aug,27.6,29.8,25.0,11.5,45.0
4 Aug,29.3,30.9,26.9,12.9,35.6
5 Aug,29.8,31.2,27.8,16.8,34.3
6 Aug,30.0,31.9,28.5,11.7,24.8
7 Aug,29.8,31.4,28.8,11.3,33.5
8 Aug,29.0,30.9,25.2,14.6,60.2
9 Aug,29.7,31.1,28.8,15.9,34.6
10 Aug,29.8,31.6,28.7,13.1,44.3
11 Aug,29.7,31.4,28.3,14.6,29.8
12 Aug,29.5,30.7,28.1,17.3,34.3
13 Aug,29.3,30.6,25.4,18.3,35.9
14 Aug,28.0,31.1,25.0,13.2,37.0
15 Aug,28.7,30.0,26.6,9.7,29.8
16 Aug,28.7,30.8,25.0,12.7,55.0
17 Aug,29.3,30.4,28.3,13.1,31.3
18 Aug,28.2,29.7,24.7,10.6,34.6
19 Aug,28.4,29.7,26.7,11.9,41.9
20 Aug,29.4,30.5,28.2,19.1,43.2
21 Aug,27.9,29.3,24.9,11.7,38.5
22 Aug,29.4,30.9,27.0,16.6,34.3
23 Aug,29.7,31.5,28.7,16.4,35.9
24 Aug,29.2,30.5,28.2,14.2,37.8
25 Aug,28.8,30.3,25.9,12.7,41.1
26 Aug,28.4,30.5,25.0,9.9,42.8
27 Aug,28.9,31.0,26.8,9.1,29.1
28 Aug,28.7,30.5,26.1,12.7,47.8
29 Aug,29.3,30.7,28.1,16.8,40.0
30 Aug,29.0,30.1,26.5,11.7,49.6
31 Aug,29.8,31.1,28.7,18.2,35.0
