Date,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,27.2,30.9,24.1,10.1,35.9
2 Jul,28.7,31.9,27.0,7.6,25.6
3 Jul,28.1,33.2,25.9,9.1,33.5
4 Jul,29.0,32.7,27.2,11.0,37.8
5 Jul,27.7,32.4,23.8,6.4,31.7
6 Jul,27.0,29.7,25.3,4.2,20.9
7 Jul,27.7,31.5,25.7,6.0,28.2
8 Jul,28.3,31.6,26.1,8.6,33.9
9 Jul,27.4,31.3,24.7,6.3,32.4
10 Jul,27.1,30.2,24.8,5.7,44.3
11 Jul,25.0,27.4,24.0,6.9,35.9
12 Jul,27.8,31.8,24.9,7.9,27.4
13 Jul,29.1,33.0,26.9,7.4,28.5
14 Jul,25.9,28.4,22.7,5.5,30.2
15 Jul,27.8,31.5,25.2,5.1,29.1
16 Jul,29.1,32.5,27.4,7.9,30.9
17 Jul,28.0,29.6,26.4,8.4,33.5
18 Jul,27.0,29.1,23.2,7.4,38.9
19 Jul,26.7,28.4,23.2,6.5,28.9
20 Jul,25.9,27.8,22.0,7.1,41.1
21 Jul,28.0,30.8,26.4,11.1,32.0
22 Jul,28.5,31.0,26.3,9.7,38.2
23 Jul,28.2,29.8,24.9,8.4,34.3
24 Jul,28.5,32.6,25.8,9.6,30.2
25 Jul,29.1,32.4,27.4,9.9,31.7
26 Jul,29.0,32.3,27.6,10.5,41.1
27 Jul,29.1,32.1,27.8,11.2,37.4
28 Jul,29.2,32.2,27.6,10.4,34.6
29 Jul,29.0,32.4,27.6,12.3,35.2
30 Jul,28.9,32.9,27.6,12.4,37.8
31 Jul,28.6,31.3,27.5,12.7,35.6
1 Jun,26.6,29.2,23.4,8.8,46.1
2 Jun,28.9,32.9,26.3,7.2,29.1
3 Jun,28.6,31.4,25.0,8.1,37.4
4 Jun,27.1,31.7,23.1,5.7,38.9
5 Jun,28.6,32.5,25.7,6.9,23.3
6 Jun,28.0,30.4,24.8,6.5,28.9
7 Jun,28.3,32.3,27.2,9.2,37.0
8 Jun,28.9,32.1,27.2,8.5,35.2
9 Jun,29.3,33.7,27.7,8.8,28.2
10 Jun,29.2,32.3,27.0,9.8,34.3
11 Jun,29.2,33.1,27.5,10.3,32.8
12 Jun,27.0,29.5,23.6,7.8,50.7
13 Jun,28.4,32.4,25.8,7.8,29.1
14 Jun,27.8,30.0,25.5,7.0,32.4
15 Jun,28.6,32.7,26.5,6.7,27.4
16 Jun,29.3,32.7,27.3,9.2,29.4
17 Jun,29.5,33.2,27.9,8.6,28.5
18 Jun,27.8,32.1,21.4,5.5,39.6
19 Jun,28.6,33.9,26.4,6.6,26.7
20 Jun,29.1,33.0,27.5,10.0,33.9
21 Jun,29.2,32.8,27.8,11.3,33.2
22 Jun,29.4,31.9,28.0,10.3,28.5
23 Jun,29.5,32.8,27.9,8.7,27.8
24 Jun,28.1,31.4,24.9,5.3,31.7
25 Jun,28.5,32.6,25.1,5.2,25.6
26 Jun,27.9,31.0,24.0,5.9,25.9
27 Jun,27.4,30.6,23.6,6.1,32.8
28 Jun,27.5,31.1,23.4,6.7,27.8
29 Jun,28.6,32.3,25.9,8.4,34.6
30 Jun,27.7,29.7,24.6,7.4,25.6
1 Aug,29.0,32.2,27.5,9.7,32.0
2 Aug,29.0,32.0,27.7,10.6,38.2
3 Aug,25.9,28.4,22.1,7.4,38.9
4 Aug,28.1,31.8,25.4,9.3,35.0
5 Aug,29.0,32.9,27.3,11.6,36.3
6 Aug,29.3,32.9,27.0,8.4,32.0
7 Aug,29.0,33.0,27.4,9.9,35.9
8 Aug,28.3,30.7,27.4,10.5,37.0
9 Aug,28.8,32.1,27.1,10.3,36.3
10 Aug,28.9,33.2,27.4,10.1,34.6
11 Aug,28.7,32.6,25.4,9.4,35.2
12 Aug,28.8,31.8,27.1,11.2,30.9
13 Aug,28.5,31.0,27.2,11.7,32.8
14 Aug,26.9,31.6,23.6,9.6,43.9
15 Aug,27.9,31.9,25.1,6.4,25.6
16 Aug,28.1,32.6,25.8,9.0,45.7
17 Aug,27.9,31.6,25.3,8.5,34.6
18 Aug,26.6,28.0,23.2,6.8,26.3
19 Aug,26.8,29.6,24.3,6.6,33.2
20 Aug,28.0,30.2,26.4,10.6,41.5
21 Aug,26.4,28.3,23.2,6.4,33.9
22 Aug,28.4,32.5,25.8,9.4,35.0
23 Aug,28.8,32.0,27.1,11.2,33.9
24 Aug,28.7,32.2,27.1,9.6,31.3
25 Aug,27.9,31.5,26.3,8.9,40.0
26 Aug,27.7,31.2,26.6,6.5,28.2
27 Aug,28.1,32.6,25.6,7.7,32.8
28 Aug,28.1,31.9,27.0,8.9,36.3
29 Aug,28.1,30.8,25.4,10.1,35.0
30 Aug,28.2,31.2,25.8,7.6,40.7
31 Aug,28.6,31.3,27.2,10.8,38.5
