Date,Humidity_High,Humidity_Avg,Humidity_Low,Region
1/3/2023,99,99,99,North
2/3/2023,98,92,71,North
3/3/2023,99,99,98,North
4/3/2023,99,97,91,North
5/3/2023,98,91,78,North
6/3/2023,95,85,74,North
7/3/2023,92,86,70,North
8/3/2023,93,87,70,North
9/3/2023,94,84,65,North
10/3/2023,94,85,69,North
11/3/2023,93,83,64,North
12/3/2023,92,82,60,North
13/3/2023,90,79,56,North
14/3/2023,90,81,67,North
15/3/2023,91,80,63,North
16/3/2023,91,80,58,North
17/3/2023,92,81,62,North
18/3/2023,91,81,62,North
19/3/2023,91,84,70,North
20/3/2023,93,86,67,North
21/3/2023,94,86,63,North
22/3/2023,95,86,62,North
23/3/2023,95,83,60,North
24/3/2023,97,86,69,North
25/3/2023,98,91,71,North
26/3/2023,94,86,66,North
27/3/2023,99,93,82,North
28/3/2023,97,82,53,North
29/3/2023,93,83,56,North
30/3/2023,99,86,59,North
31/3/2023,99,86,61,North
1/4/2023,96,86,60,North
2/4/2023,96,87,62,North
3/4/2023,97,89,70,North
4/4/2023,95,78,52,North
5/4/2023,92,86,75,North
6/4/2023,92,81,69,North
7/4/2023,92,84,71,North
8/4/2023,93,83,60,North
9/4/2023,94,82,62,North
10/4/2023,96,85,54,North
11/4/2023,95,82,51,North
12/4/2023,92,79,57,North
13/4/2023,99,87,69,North
14/4/2023,98,87,67,North
15/4/2023,95,85,65,North
16/4/2023,96,86,64,North
17/4/2023,99,89,65,North
18/4/2023,96,83,51,North
19/4/2023,94,88,72,North
20/4/2023,95,87,70,North
21/4/2023,92,82,58,North
22/4/2023,93,85,68,North
23/4/2023,94,83,56,North
24/4/2023,95,83,60,North
25/4/2023,92,84,64,North
26/4/2023,93,84,57,North
27/4/2023,98,90,66,North
28/4/2023,98,92,70,North
29/4/2023,99,89,58,North
30/4/2023,97,88,68,North
1/5/2023,94,82,62,North
2/5/2023,92,82,63,North
3/5/2023,91,85,60,North
4/5/2023,93,84,61,North
5/5/2023,92,83,65,North
6/5/2023,94,80,63,North
7/5/2023,99,86,63,North
8/5/2023,90,78,56,North
9/5/2023,87,75,51,North
10/5/2023,89,79,59,North
11/5/2023,91,79,58,North
12/5/2023,92,77,53,North
13/5/2023,92,75,43,North
14/5/2023,91,82,57,North
15/5/2023,92,85,62,North
16/5/2023,91,83,65,North
17/5/2023,96,90,68,North
18/5/2023,95,81,57,North
19/5/2023,93,82,64,North
20/5/2023,90,82,65,North
21/5/2023,95,89,80,North
22/5/2023,95,80,56,North
23/5/2023,96,81,57,North
24/5/2023,90,78,55,North
25/5/2023,90,83,68,North
26/5/2023,98,86,71,North
27/5/2023,92,83,60,North
28/5/2023,90,79,61,North
29/5/2023,91,76,55,North
30/5/2023,88,79,62,North
31/5/2023,91,78,56,North
1/6/2023,98,88,77,North
2/6/2023,91,79,57,North
3/6/2023,95,87,72,North
4/6/2023,96,92,81,North
5/6/2023,94,79,55,North
6/6/2023,90,84,73,North
7/6/2023,93,84,71,North
8/6/2023,93,81,62,North
9/6/2023,91,80,57,North
10/6/2023,93,81,60,North
11/6/2023,90,79,60,North
12/6/2023,97,87,72,North
13/6/2023,93,84,63,North
14/6/2023,96,86,65,North
15/6/2023,96,85,66,North
16/6/2023,93,78,56,North
17/6/2023,91,80,61,North
18/6/2023,92,84,69,North
19/6/2023,94,85,63,North
20/6/2023,96,86,67,North
21/6/2023,92,79,57,North
22/6/2023,93,80,63,North
23/6/2023,95,86,65,North
24/6/2023,94,87,69,North
25/6/2023,93,81,61,North
26/6/2023,98,84,65,North
27/6/2023,98,86,65,North
28/6/2023,92,83,61,North
29/6/2023,98,82,59,North
30/6/2023,95,86,72,North
1/7/2023,97,83,62,North
2/7/2023,93,79,57,North
3/7/2023,92,85,71,North
4/7/2023,95,81,57,North
5/7/2023,93,82,57,North
6/7/2023,94,86,75,North
7/7/2023,95,86,62,North
8/7/2023,95,84,64,North
9/7/2023,95,88,74,North
10/7/2023,96,85,62,North
11/7/2023,95,89,83,North
12/7/2023,96,89,68,North
13/7/2023,96,80,54,North
14/7/2023,98,93,84,North
15/7/2023,97,84,58,North
16/7/2023,92,80,61,North
17/7/2023,97,85,72,North
18/7/2023,93,87,73,North
19/7/2023,94,88,76,North
20/7/2023,99,96,86,North
21/7/2023,99,86,60,North
22/7/2023,94,81,62,North
23/7/2023,90,82,69,North
24/7/2023,90,76,46,North
25/7/2023,89,75,48,North
26/7/2023,87,77,60,North
27/7/2023,88,81,64,North
15/8/2023,99,99,98,North
16/8/2023,99,91,70,North
17/8/2023,96,89,67,North
18/8/2023,93,89,83,North
19/8/2023,97,92,80,North
20/8/2023,96,84,60,North
21/8/2023,97,89,73,North
22/8/2023,96,80,49,North
23/8/2023,91,76,53,North
24/8/2023,94,82,64,North
25/8/2023,94,83,66,North
26/8/2023,94,87,68,North
27/8/2023,94,83,66,North
28/8/2023,94,85,63,North
29/8/2023,91,84,71,North
30/8/2023,90,79,61,North
31/8/2023,89,78,62,North
1/3/2023,99,99,94,South
2/3/2023,99,96,79,South
3/3/2023,99,99,99,South
4/3/2023,99,99,96,South
5/3/2023,99,96,82,South
6/3/2023,99,92,81,South
7/3/2023,99,93,83,South
8/3/2023,99,93,76,South
9/3/2023,99,90,72,South
10/3/2023,99,92,78,South
11/3/2023,99,90,71,South
12/3/2023,99,91,76,South
13/3/2023,97,86,66,South
14/3/2023,96,88,75,South
15/3/2023,96,85,67,South
16/3/2023,97,86,64,South
17/3/2023,99,87,67,South
18/3/2023,98,88,70,South
19/3/2023,98,92,76,South
20/3/2023,99,94,82,South
21/3/2023,99,91,66,South
22/3/2023,99,91,78,South
23/3/2023,99,90,75,South
24/3/2023,97,90,74,South
25/3/2023,99,94,77,South
26/3/2023,99,88,74,South
27/3/2023,99,95,86,South
28/3/2023,99,88,61,South
29/3/2023,96,88,73,South
