Date,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,27.5,31.6,24.0,-,-
2 Jul,29.1,32.7,25.8,-,-
3 Jul,28.7,32.1,26.5,-,-
4 Jul,29.1,33.4,25.6,-,-
5 Jul,28.0,34.4,24.7,-,-
6 Jul,26.6,29.5,24.5,-,-
7 Jul,27.1,32.9,23.9,-,-
8 Jul,28.4,32.7,24.4,-,-
9 Jul,27.5,32.3,24.9,-,-
10 Jul,27.2,31.1,24.3,-,-
11 Jul,25.5,27.5,24.4,-,-
12 Jul,26.9,31.5,23.6,-,-
13 Jul,28.5,33.1,24.2,-,-
14 Jul,25.6,26.6,23.6,-,-
15 Jul,27.6,32.4,23.9,-,-
16 Jul,28.8,32.6,25.3,-,-
17 Jul,28.2,31.3,25.1,-,-
18 Jul,27.0,30.6,23.8,-,-
19 Jul,27.1,29.2,25.1,-,-
20 Jul,25.1,28.1,22.4,-,-
21 Jul,28.3,32.5,24.5,-,-
22 Jul,29.0,32.4,25.0,-,-
23 Jul,28.2,32.2,25.1,-,-
24 Jul,28.7,33.7,24.7,-,-
25 Jul,29.6,33.4,25.2,-,-
26 Jul,29.9,33.2,27.7,-,-
27 Jul,30.0,32.9,28.1,-,-
28 Jul,29.8,33.4,25.9,-,-
29 Jul,29.9,33.2,28.1,-,-
30 Jul,29.7,33.3,27.7,-,-
31 Jul,29.5,33.2,27.6,-,-
1 Jun,26.7,29.4,23.8,-,-
2 Jun,28.7,33.8,23.6,-,-
3 Jun,28.2,32.6,24.9,-,-
4 Jun,26.4,30.8,24.7,-,-
5 Jun,28.3,33.5,23.3,-,-
6 Jun,27.6,31.1,25.0,-,-
7 Jun,28.1,32.0,25.1,-,-
8 Jun,28.8,33.4,24.6,-,-
9 Jun,29.3,33.9,25.5,-,-
10 Jun,29.2,33.6,25.3,-,-
11 Jun,29.7,33.4,25.8,-,-
12 Jun,27.1,30.8,24.0,-,-
13 Jun,28.5,33.2,25.0,-,-
14 Jun,27.4,31.5,25.4,-,-
15 Jun,28.5,32.6,24.0,-,-
16 Jun,29.8,33.4,25.2,-,-
17 Jun,29.4,33.6,25.5,-,-
18 Jun,27.5,31.4,23.7,-,-
19 Jun,27.7,33.5,24.8,-,-
20 Jun,28.7,33.5,25.1,-,-
21 Jun,29.7,33.2,25.0,-,-
22 Jun,29.7,33.3,25.4,-,-
23 Jun,28.3,33.4,25.2,-,-
24 Jun,27.3,31.5,23.7,-,-
25 Jun,27.9,32.8,24.6,-,-
26 Jun,27.2,31.3,23.3,-,-
27 Jun,27.4,31.5,24.7,-,-
28 Jun,27.5,31.3,24.9,-,-
29 Jun,28.5,32.9,25.2,-,-
30 Jun,27.5,30.8,25.2,-,-
1 Aug,29.3,33.8,27.1,-,-
2 Aug,29.7,33.7,25.8,-,-
3 Aug,26.1,28.9,22.9,-,-
4 Aug,28.6,33.7,24.4,-,-
5 Aug,29.7,33.1,25.7,-,-
6 Aug,28.9,33.4,23.5,-,-
7 Aug,29.3,33.8,24.5,-,-
8 Aug,28.9,33.0,24.6,-,-
9 Aug,28.8,32.7,24.6,-,-
10 Aug,29.5,33.9,26.5,-,-
11 Aug,28.1,32.7,24.4,-,-
12 Aug,29.1,32.3,27.2,-,-
13 Aug,28.8,31.4,26.1,-,-
14 Aug,27.0,32.4,24.0,-,-
15 Aug,26.5,32.8,23.3,-,-
16 Aug,26.7,32.4,24.3,-,-
17 Aug,26.8,32.8,24.2,-,-
18 Aug,26.2,27.9,24.9,-,-
19 Aug,26.2,30.3,23.9,-,-
20 Aug,28.0,32.0,23.8,-,-
21 Aug,26.1,29.0,23.8,-,-
22 Aug,28.4,33.1,23.6,-,-
23 Aug,28.9,33.3,23.9,-,-
24 Aug,28.5,32.5,24.8,-,-
25 Aug,27.6,32.3,24.9,-,-
26 Aug,27.0,32.1,24.4,-,-
27 Aug,27.8,33.0,23.4,-,-
28 Aug,27.9,32.8,24.4,-,-
29 Aug,27.7,31.6,25.1,-,-
30 Aug,28.2,31.6,24.0,-,-
31 Aug,28.8,32.7,24.8,-,-
