Date,Mean Temperature (°C),Maximum Temperature (°C),Maximum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,27.8,30.8,25.0,7.9,35.0
2 Jul,29.1,32.0,27.4,5.2,18.0
3 Jul,28.8,32.7,27.6,5.3,30.2
4 Jul,29.7,34.9,28.0,6.5,32.0
5 Jul,27.9,31.7,23.5,5.5,45.4
6 Jul,27.6,30.7,25.9,3.6,18.0
7 Jul,28.4,32.5,26.2,4.6,25.2
8 Jul,29.1,32.6,26.6,6.2,29.1
9 Jul,27.6,32.8,24.3,4.2,44.6
10 Jul,27.5,30.1,25.4,4.6,35.6
11 Jul,25.7,28.3,24.3,4.7,30.2
12 Jul,28.3,31.5,25.2,5.4,19.8
13 Jul,29.3,32.7,27.0,4.7,17.6
14 Jul,26.5,28.6,23.7,4.8,30.9
15 Jul,28.0,30.2,25.5,5.0,22.4
16 Jul,29.5,32.4,27.1,5.9,22.6
17 Jul,28.4,31.7,26.8,5.3,26.7
18 Jul,27.3,29.4,23.7,4.2,35.9
19 Jul,27.1,28.7,23.7,4.2,50.0
20 Jul,26.6,28.7,23.2,5.5,27.8
21 Jul,28.7,32.1,27.2,7.8,24.1
22 Jul,29.1,31.9,27.4,6.4,29.4
23 Jul,28.4,30.7,25.5,5.2,33.2
24 Jul,28.9,32.2,26.1,7.6,23.3
25 Jul,29.6,32.9,27.8,6.6,22.4
26 Jul,29.6,33.2,27.7,6.2,25.6
27 Jul,29.6,33.3,27.9,6.5,26.3
28 Jul,29.6,32.5,27.8,6.9,24.4
29 Jul,29.6,32.7,27.9,8.6,25.6
30 Jul,29.4,32.4,27.7,8.7,33.2
31 Jul,28.8,31.7,27.7,8.1,29.1
1 Jun,27.0,29.5,24.3,6.5,39.6
2 Jun,29.4,32.9,26.3,5.4,20.9
3 Jun,29.0,32.7,23.5,4.8,33.2
4 Jun,27.8,31.7,24.5,5.1,106.9
5 Jun,28.9,32.0,26.2,5.5,18.3
6 Jun,28.3,30.0,26.3,4.4,22.6
7 Jun,28.9,31.8,27.4,5.8,25.2
8 Jun,29.6,32.7,27.4,5.8,25.9
9 Jun,29.6,33.3,27.9,5.8,20.2
10 Jun,29.7,33.3,27.7,6.1,26.3
11 Jun,29.8,34.1,28.0,6.2,22.6
12 Jun,27.3,29.8,23.8,4.8,29.1
13 Jun,28.9,32.8,26.1,6.1,24.1
14 Jun,28.1,30.6,24.5,4.9,27.8
15 Jun,28.9,31.7,26.9,4.7,18.0
16 Jun,29.8,33.0,27.5,5.8,20.6
17 Jun,29.9,33.0,28.1,5.6,17.6
18 Jun,28.5,32.2,22.4,3.7,47.2
19 Jun,29.3,33.3,26.8,5.0,24.4
20 Jun,29.3,32.8,27.8,5.8,21.7
21 Jun,29.5,32.3,26.7,6.1,29.4
22 Jun,29.6,34.0,25.1,6.0,33.5
23 Jun,29.9,33.5,28.1,5.9,24.1
24 Jun,28.5,31.7,25.2,4.1,23.7
25 Jun,28.8,32.7,25.3,4.6,22.4
26 Jun,28.5,31.6,25.6,5.6,26.3
27 Jun,28.4,30.1,25.2,5.4,20.9
28 Jun,27.9,31.0,24.0,5.3,19.4
29 Jun,29.1,32.8,27.4,5.6,24.4
30 Jun,28.2,30.8,25.1,4.6,25.6
1 Aug,29.3,32.4,27.5,6.8,20.2
2 Aug,29.6,33.4,28.3,7.7,27.8
3 Aug,26.3,28.6,23.5,4.9,47.8
4 Aug,28.7,32.5,26.0,6.1,30.2
5 Aug,29.4,33.3,27.4,7.1,24.8
6 Aug,29.4,33.2,26.4,5.1,20.9
7 Aug,29.3,32.4,27.4,6.5,25.9
8 Aug,28.7,33.3,27.4,6.5,28.5
9 Aug,29.1,32.7,27.2,6.8,29.1
10 Aug,29.3,32.6,27.8,7.4,25.2
11 Aug,29.0,33.0,25.1,6.1,30.9
12 Aug,29.4,33.3,27.1,7.1,24.8
13 Aug,29.0,32.0,27.6,7.1,29.1
14 Aug,27.6,32.9,24.4,7.4,35.2
15 Aug,28.3,32.0,25.7,5.3,19.1
16 Aug,28.4,32.9,24.7,5.9,42.8
17 Aug,28.8,31.9,27.4,5.3,21.3
18 Aug,27.0,28.7,24.1,4.5,29.4
19 Aug,27.4,30.7,25.0,4.6,27.4
20 Aug,28.8,31.7,26.9,6.7,31.3
21 Aug,27.1,29.2,24.4,5.3,48.5
22 Aug,29.1,32.6,26.6,7.3,27.4
23 Aug,29.3,32.7,27.1,7.1,23.0
24 Aug,28.9,33.0,27.2,5.9,31.3
25 Aug,28.1,31.5,25.3,5.1,35.6
26 Aug,27.8,31.0,26.8,4.2,26.7
27 Aug,28.6,32.0,26.2,5.5,25.2
28 Aug,28.4,31.4,26.8,6.0,30.6
29 Aug,28.6,31.4,27.3,7.0,28.5
30 Aug,28.4,31.3,25.6,5.5,45.4
31 Aug,29.1,32.4,27.2,7.3,27.8
