Date,Mean Temperature (°C),Maximum Temperature (°C),Maximum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,27.6,32.1,24.1,8.9,38.8
2 Jul,28.9,32.4,26.0,5.0,18.6
3 Jul,27.5,31.0,25.5,4.2,28.4
4 Jul,28.8,33.6,25.5,5.0,19.8
5 Jul,27.2,33.6,22.7,4.8,56.4
6 Jul,26.4,29.0,24.6,4.1,14.2
7 Jul,27.3,32.6,24.3,5.3,17.9
8 Jul,28.1,32.5,24.6,6.2,27.3
9 Jul,26.6,29.2,24.7,4.7,26.8
10 Jul,27.0,30.6,24.3,5.6,24.7
11 Jul,25.2,27.0,23.9,5.7,31.5
12 Jul,27.0,31.8,24.2,4.8,21.9
13 Jul,28.5,33.3,24.6,5.3,21.8
14 Jul,25.5,26.5,23.5,5.2,25.3
15 Jul,27.4,31.8,24.0,5.8,23.6
16 Jul,28.9,32.4,25.4,6.6,23.5
17 Jul,28.1,31.6,24.0,6.9,28.7
18 Jul,26.7,31.2,24.4,4.7,23.6
19 Jul,26.6,29.1,24.2,5.2,20.5
20 Jul,25.0,27.0,22.3,4.5,36.1
21 Jul,28.5,32.3,25.3,8.4,24.4
22 Jul,28.8,31.6,25.6,7.4,27.8
23 Jul,27.9,31.6,25.3,5.4,30.1
24 Jul,28.7,33.1,24.9,7.5,23.7
25 Jul,29.6,33.4,25.4,7.4,24.6
26 Jul,29.4,32.5,26.6,7.6,25.3
27 Jul,29.3,32.4,26.8,7.7,29.2
28 Jul,29.4,32.4,26.6,8.0,27.0
29 Jul,29.2,31.9,26.6,9.4,28.0
30 Jul,29.3,32.5,26.4,9.6,30.6
31 Jul,28.7,32.0,26.4,8.9,28.3
1 Jun,26.7,29.2,24.0,7.3,53.9
2 Jun,28.3,33.0,24.0,5.3,19.6
3 Jun,28.1,32.4,24.1,5.3,32.9
4 Jun,26.4,30.0,24.2,5.0,25.5
5 Jun,28.2,32.7,23.6,5.6,23.9
6 Jun,27.8,30.4,25.5,5.0,24.1
7 Jun,28.2,31.3,25.7,5.6,25.3
8 Jun,28.5,32.4,25.5,6.2,24.4
9 Jun,28.9,32.8,25.9,6.3,24.7
10 Jun,28.9,33.0,25.6,7.0,31.2
11 Jun,29.4,33.7,25.7,7.5,27.6
12 Jun,27.1,31.4,24.5,5.2,25.3
13 Jun,28.6,33.1,25.1,6.5,22.8
14 Jun,27.7,30.5,25.5,5.6,25.6
15 Jun,28.7,33.4,24.7,6.4,21.9
16 Jun,29.8,33.6,26.3,6.4,21.4
17 Jun,29.7,33.5,26.8,6.1,25.6
18 Jun,27.2,30.9,22.9,4.4,30.2
19 Jun,28.3,34.3,25.1,5.1,22.0
20 Jun,28.7,33.5,24.9,5.6,35.7
21 Jun,29.4,32.8,25.7,7.6,32.1
22 Jun,29.5,33.5,25.7,6.0,22.5
23 Jun,28.6,33.2,26.2,5.8,24.9
24 Jun,27.4,31.9,23.6,6.2,30.9
25 Jun,28.1,32.6,25.2,6.4,26.6
26 Jun,27.2,30.7,23.4,7.2,37.1
27 Jun,27.1,31.0,23.5,6.0,28.1
28 Jun,27.4,31.0,24.5,6.4,26.9
29 Jun,28.1,32.5,24.2,6.6,27.1
30 Jun,27.3,30.7,24.7,4.8,27.0
1 Aug,29.0,32.3,26.1,7.2,23.0
2 Aug,29.5,32.9,26.7,8.5,24.3
3 Aug,25.8,28.8,22.3,5.1,37.6
4 Aug,28.4,32.8,24.5,6.9,26.4
5 Aug,29.3,32.8,25.6,8.1,28.2
6 Aug,28.9,32.9,24.5,6.5,23.8
7 Aug,29.2,33.0,25.3,7.7,27.4
8 Aug,28.7,32.8,27.1,7.0,29.2
9 Aug,28.7,32.9,25.0,7.2,28.5
10 Aug,29.3,32.9,26.6,7.4,22.4
11 Aug,28.1,32.8,23.9,7.0,41.3
12 Aug,28.7,32.0,25.6,6.7,24.8
13 Aug,28.7,32.5,25.6,6.5,21.2
14 Aug,26.6,30.8,23.6,7.1,43.1
15 Aug,27.2,32.5,24.0,4.6,20.8
16 Aug,27.1,32.0,25.1,5.0,19.5
17 Aug,26.7,31.1,24.4,4.7,22.1
18 Aug,25.9,27.2,24.8,4.2,25.5
19 Aug,26.0,30.0,24.4,3.5,21.1
20 Aug,27.9,31.5,24.5,7.1,28.3
21 Aug,25.9,28.6,23.2,6.6,30.8
22 Aug,28.2,32.4,24.0,7.7,30.5
23 Aug,28.4,32.7,24.3,7.8,26.4
24 Aug,28.5,33.3,25.3,6.0,26.9
25 Aug,27.7,32.3,24.7,6.3,33.5
26 Aug,27.1,32.2,24.9,5.2,25.6
27 Aug,28.1,33.1,24.0,6.0,25.6
28 Aug,27.9,32.3,25.1,6.5,29.0
29 Aug,28.0,30.6,25.9,6.7,31.1
30 Aug,28.1,32.0,24.7,6.4,29.1
31 Aug,28.9,32.1,26.2,8.1,31.3
