Date,Mean Temperature (°C),Maximum Temperature (°C),Maximum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jul,28.1,31.0,25.1,10.1,55.7
2 Jul,29.5,31.7,28.0,5.4,22.6
3 Jul,28.8,32.2,26.9,3.9,23.0
4 Jul,29.7,32.6,27.4,4.0,27.4
5 Jul,28.0,31.8,22.9,6.3,24.4
6 Jul,27.8,29.9,26.3,3.5,20.2
7 Jul,28.2,32.4,23.6,6.9,53.7
8 Jul,28.9,31.8,24.8,6.8,27.0
9 Jul,27.6,29.1,24.6,3.1,22.4
10 Jul,27.5,29.5,26.3,6.7,38.2
11 Jul,25.9,28.5,24.3,7.8,42.4
12 Jul,28.6,31.7,25.6,6.5,23.0
13 Jul,29.5,32.2,26.9,5.4,24.8
14 Jul,26.4,29.2,23.4,6.7,30.6
15 Jul,28.2,30.6,25.7,5.1,20.9
16 Jul,29.7,32.0,27.6,5.8,20.6
17 Jul,28.9,30.7,27.5,5.6,29.4
18 Jul,28.3,30.2,26.4,4.2,22.4
19 Jul,27.9,29.6,25.3,6.5,32.8
20 Jul,27.0,29.5,23.2,8.9,38.9
21 Jul,28.8,31.0,26.9,8.6,26.3
22 Jul,29.4,31.5,27.8,4.4,25.9
23 Jul,29.0,31.2,25.1,3.6,35.2
24 Jul,29.1,32.3,26.7,6.8,27.4
25 Jul,29.9,33.1,28.1,5.7,25.2
26 Jul,29.9,32.7,28.5,5.3,28.2
27 Jul,29.7,32.0,26.8,4.9,30.2
28 Jul,29.9,32.0,28.4,5.1,30.6
29 Jul,29.6,31.8,24.5,5.2,37.4
30 Jul,29.7,32.0,28.3,5.5,28.5
31 Jul,29.4,31.9,28.3,5.2,27.8
1 Jun,27.6,30.0,24.2,10.1,55.4
2 Jun,29.4,32.8,27.1,6.5,28.5
3 Jun,30.0,32.3,28.5,5.8,28.9
4 Jun,27.6,29.5,23.5,7.1,52.2
5 Jun,29.1,32.1,26.7,6.6,19.4
6 Jun,28.7,30.3,26.0,5.8,45.0
7 Jun,29.0,30.9,27.9,6.9,34.3
8 Jun,29.5,31.9,27.5,6.1,33.2
9 Jun,29.9,32.2,28.2,6.0,28.5
10 Jun,29.9,32.4,27.9,7.0,34.6
11 Jun,30.1,32.8,28.7,6.1,31.3
12 Jun,28.0,30.1,24.6,4.6,25.6
13 Jun,29.2,32.0,26.6,7.4,32.0
14 Jun,28.1,30.4,24.5,7.2,32.4
15 Jun,29.2,32.2,26.7,5.2,25.2
16 Jun,30.2,33.0,28.3,5.7,27.0
17 Jun,30.2,32.6,28.6,5.3,29.8
18 Jun,28.4,31.2,22.3,4.3,32.4
19 Jun,29.6,33.5,26.9,5.0,26.7
20 Jun,29.6,32.5,27.0,4.7,30.2
21 Jun,30.1,32.1,28.6,5.1,32.4
22 Jun,30.5,33.4,28.5,5.3,36.3
23 Jun,30.1,32.6,28.0,5.7,31.7
24 Jun,28.5,31.2,24.8,6.9,45.7
25 Jun,28.5,30.9,22.4,7.8,51.5
26 Jun,28.2,30.8,25.1,9.3,42.4
27 Jun,28.1,30.4,24.2,6.9,45.7
28 Jun,28.0,30.6,23.4,6.5,37.4
29 Jun,29.3,32.2,26.6,5.8,28.2
30 Jun,28.6,30.5,24.8,5.6,31.7
1 Aug,29.5,32.0,28.1,6.8,27.8
2 Aug,29.9,32.5,28.6,7.0,30.2
3 Aug,26.7,29.2,22.6,4.1,55.0
4 Aug,29.2,32.1,26.3,6.1,27.8
5 Aug,29.8,32.4,28.3,4.5,31.3
6 Aug,29.6,32.5,27.6,5.0,25.2
7 Aug,29.8,32.3,27.8,5.6,28.9
8 Aug,28.9,32.1,24.7,5.2,31.3
9 Aug,29.2,31.7,27.2,4.3,23.3
10 Aug,29.4,31.8,28.2,5.7,30.6
11 Aug,28.8,32.1,24.0,5.2,46.9
12 Aug,29.4,31.9,28.0,4.5,24.8
13 Aug,29.5,31.6,28.1,3.9,24.4
14 Aug,26.8,29.7,23.7,6.0,45.0
15 Aug,28.7,31.8,25.8,6.0,20.9
16 Aug,29.0,31.6,27.7,3.7,20.6
17 Aug,28.7,31.1,27.0,4.1,21.7
18 Aug,26.6,28.6,24.0,5.0,46.1
19 Aug,27.6,29.7,26.5,4.3,24.8
20 Aug,28.7,31.1,27.2,6.8,30.9
21 Aug,26.9,28.7,23.1,6.6,37.8
22 Aug,29.1,31.9,26.2,4.2,24.8
23 Aug,29.3,31.9,27.7,5.3,27.4
24 Aug,29.2,32.3,27.9,4.2,25.2
25 Aug,28.9,31.2,27.8,3.5,20.6
26 Aug,28.4,30.8,26.7,5.1,34.3
27 Aug,28.6,31.8,25.8,5.5,28.2
28 Aug,28.6,31.0,25.8,4.7,24.1
29 Aug,28.6,30.4,27.0,5.2,31.7
30 Aug,28.6,31.1,25.7,5.3,25.2
31 Aug,29.5,31.9,28.1,5.0,32.4
