Date,Humidity_High,Humidity_Avg,Humidity_Low,Region,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
01/03/2023,99.0,99.0,99.0,North,23.2,25.0,21.8,9.2,33.2
02/03/2023,98.0,92.0,71.0,North,24.4,31.4,22.5,7.6,49.6
03/03/2023,99.0,99.0,98.0,North,24.2,25.0,23.2,7.6,35.2
04/03/2023,99.0,97.0,91.0,North,23.8,24.8,21.6,12.8,43.9
05/03/2023,98.0,91.0,78.0,North,25.0,28.8,23.2,10.7,42.4
06/03/2023,95.0,85.0,74.0,North,25.8,29.9,23.7,13.7,36.3
07/03/2023,92.0,86.0,70.0,North,25.7,28.4,23.5,16.2,40.4
08/03/2023,93.0,87.0,70.0,North,26.2,30.5,24.3,14.4,47.6
09/03/2023,94.0,84.0,65.0,North,26.8,30.8,24.5,16.4,41.9
10/03/2023,94.0,85.0,69.0,North,26.9,30.7,24.8,15.8,37.8
11/03/2023,93.0,83.0,64.0,North,26.9,31.0,25.0,14.7,35.9
12/03/2023,92.0,82.0,60.0,North,26.8,31.9,24.4,12.5,39.3
13/03/2023,90.0,79.0,56.0,North,26.6,30.3,24.5,16.9,43.2
14/03/2023,90.0,81.0,67.0,North,26.4,29.9,24.3,15.8,46.1
15/03/2023,91.0,80.0,63.0,North,26.5,29.6,24.1,14.5,36.7
16/03/2023,91.0,80.0,58.0,North,27.2,31.7,24.3,15.3,38.9
17/03/2023,92.0,81.0,62.0,North,27.4,31.7,25.0,14.9,40.0
18/03/2023,91.0,81.0,62.0,North,27.4,31.2,24.8,15.9,41.9
19/03/2023,91.0,84.0,70.0,North,27.3,31.3,24.7,12.5,49.6
20/03/2023,93.0,86.0,67.0,North,26.9,31.0,25.1,9.9,31.3
21/03/2023,94.0,86.0,63.0,North,26.7,30.7,23.3,8.3,28.2
22/03/2023,95.0,86.0,62.0,North,27.8,34.3,25.2,8.3,24.4
23/03/2023,95.0,83.0,60.0,North,28.2,33.7,25.8,9.8,32.8
24/03/2023,97.0,86.0,69.0,North,27.3,33.0,24.8,6.3,37.8
25/03/2023,98.0,91.0,71.0,North,25.9,31.3,23.3,6.5,40.0
26/03/2023,94.0,86.0,66.0,North,26.6,34.5,23.0,6.8,46.5
27/03/2023,99.0,93.0,82.0,North,25.7,27.2,23.6,5.7,25.6
28/03/2023,97.0,82.0,53.0,North,28.7,33.8,25.2,8.2,33.9
29/03/2023,93.0,83.0,56.0,North,27.6,33.7,24.4,8.9,31.7
30/03/2023,99.0,86.0,59.0,North,27.1,33.4,21.6,10.2,41.9
31/03/2023,99.0,86.0,61.0,North,27.2,33.9,24.7,6.0,30.9
01/04/2023,96.0,86.0,60.0,North,27.0,32.8,25.0,7.0,30.9
02/04/2023,96.0,87.0,62.0,North,27.6,34.2,25.6,5.3,25.6
03/04/2023,97.0,89.0,70.0,North,26.0,28.6,24.5,6.4,31.3
04/04/2023,95.0,78.0,52.0,North,28.5,33.0,25.3,7.9,29.8
05/04/2023,92.0,86.0,75.0,North,27.4,29.4,25.5,6.4,35.0
06/04/2023,92.0,81.0,69.0,North,27.7,31.7,24.8,7.2,25.6
07/04/2023,92.0,84.0,71.0,North,27.3,31.1,25.6,5.5,24.8
08/04/2023,93.0,83.0,60.0,North,27.6,34.1,25.4,5.5,42.0
09/04/2023,94.0,82.0,62.0,North,28.3,32.4,25.6,10.0,34.6
10/04/2023,96.0,85.0,54.0,North,27.4,33.7,22.9,5.9,38.2
11/04/2023,95.0,82.0,51.0,North,28.7,35.0,25.2,6.8,37.0
12/04/2023,92.0,79.0,57.0,North,29.0,33.7,25.4,7.1,23.7
13/04/2023,99.0,87.0,69.0,North,28.3,33.9,23.6,6.1,54.4
14/04/2023,98.0,87.0,67.0,North,28.8,36.1,25.6,6.8,27.8
15/04/2023,95.0,85.0,65.0,North,29.3,34.6,23.7,6.7,47.2
16/04/2023,96.0,86.0,64.0,North,28.5,33.0,25.8,6.7,36.3
17/04/2023,99.0,89.0,65.0,North,28.3,33.5,24.8,7.2,35.0
18/04/2023,96.0,83.0,51.0,North,29.0,34.8,24.0,7.8,32.0
19/04/2023,94.0,88.0,72.0,North,28.0,32.2,25.4,5.6,23.7
20/04/2023,95.0,87.0,70.0,North,26.9,30.4,22.7,6.8,62.6
21/04/2023,92.0,82.0,58.0,North,28.4,33.9,24.9,6.1,22.6
22/04/2023,93.0,85.0,68.0,North,29.1,33.5,27.3,6.5,23.0
23/04/2023,94.0,83.0,56.0,North,28.9,33.4,26.9,7.8,47.2
24/04/2023,95.0,83.0,60.0,North,28.7,34.2,26.0,6.9,30.9
25/04/2023,92.0,84.0,64.0,North,28.5,32.3,26.6,6.0,35.9
